"","UserID","First_TransDate_Ca","Total_Stakes_Ca","Max_Stakes_Ca","Mean_Stakes_Ca","Total_Winnings_Ca","Max_Winnings_Ca","Mean_Winnings_Ca","Total_Bets_Ca","Length_Play_Ca","LastDay_Ca","No_Days_Played_Ca","No_Months_Played_Ca","Most_Played_Month_Ca","MostPlayed_Day_Ca","Stakes_Last_Day_Ca","Winnings_Last_Day_Ca","Bets_Last_Day_Ca","Profit_Ca"
"3389",1367327,2005-07-08,1934.1,967,386.8,1836.9,927.6,367.4,41,67,2005-09-13,5,2,"7","Tuesday",384.25,301.3,5,97.1999999999998
"3390",1367362,2005-05-26,44,44,44,29.5,29.5,29.5,41,0,2005-05-26,1,1,"5","Thursday",44,29.5,41,14.5
"3391",1367399,2005-03-08,5,5,5,0,0,0,5,0,2005-03-08,1,1,"3","Tuesday",5,0,5,5
"3392",1367405,2005-02-18,860,702,430,921,810,460.5,138,2,2005-02-20,2,1,"2","Friday",158,111,23,-61
"3393",1367426,2005-02-18,548.7,210.8483,109.7,503.9,174.5,100.8,199,2,2005-02-20,3,1,"2","Friday",112.0477,82.65,38,44.8000000000001
"3394",1367466,2005-09-09,55,54,27.5,28,28,14,12,7,2005-09-16,2,1,"9","Friday",54,28,11,27
"3395",1367496,2005-03-06,32490.8,14842,2499.3,32242.8,14475,2480.2,54,161,2005-08-14,13,2,"3","Sunday",47.35,53.35,2,248
"3396",1367505,2005-02-22,1,1,1,0,0,0,4,0,2005-02-22,1,1,"2","Tuesday",1,0,4,1
"3397",1367546,2005-03-01,498.6,163.89,49.9,404.7,149.9,40.5,949,126,2005-07-05,10,3,"3","Thursday",9.25,5.25,33,93.9
"3398",1367567,2005-09-09,2513,889,228.5,2458,857.5,223.5,1411,20,2005-09-29,11,1,"9","Friday",179,155,85,55
"3399",1367578,2005-06-30,4,4,4,2,2,2,16,0,2005-06-30,1,1,"6","Thursday",4,2,16,2
"3400",1367599,2005-03-22,42.5,32.5,21.2,39,39,19.5,23,8,2005-03-30,2,1,"3","Tuesday",10,0,2,3.5
"3401",1367634,2005-04-05,30,30,30,0,0,0,4,0,2005-04-05,1,1,"4","Tuesday",30,0,4,30
"3402",1367637,2005-02-18,2707,983,541.4,2317,815,463.4,114,3,2005-02-21,4,1,"2","Saturday",73,48,1,390
"3403",1367647,2005-02-18,672.5,309.5,168.1,714,413,178.5,221,10,2005-02-28,4,1,"2","Friday",136,109.5,27,-41.5
"3404",1367648,2005-07-11,3249,1596,541.5,3190,1546,531.7,690,19,2005-07-30,6,1,"7","Tuesday",108,64.5,24,59
"3405",1367655,2005-03-09,101,57,25.2,77,30,19.2,41,94,2005-06-11,4,2,"3","Friday",1,0,1,24
"3406",1367663,2005-02-18,19609.5,3609.5,653.6,19393,3834.5,646.4,3703,161,2005-07-29,30,4,"3","Friday",22.5,17.5,24,216.5
"3407",1367667,2005-02-18,537,518,268.5,483.5,470.5,241.8,226,3,2005-02-21,2,1,"2","Friday",19,13,8,53.5
"3408",1367681,2005-05-30,8,8,8,5,5,5,8,0,2005-05-30,1,1,"5","Monday",8,5,8,3
"3409",1367696,2005-09-07,3,3,3,0,0,0,3,0,2005-09-07,1,1,"9","Wednesday",3,0,3,3
"3410",1367702,2005-04-30,481,271,96.2,461.5,260,92.3,352,6,2005-05-06,5,2,"5","Friday",12,4,8,19.5
"3411",1367703,2005-03-23,4,4,4,0,0,0,4,0,2005-03-23,1,1,"3","Wednesday",4,0,4,4
"3412",1367717,2005-08-30,1295,831,323.8,1190.5,786.5,297.6,365,26,2005-09-25,4,2,"8","Sunday",82,67.5,52,104.5
"3413",1367719,2005-03-08,5,5,5,0,0,0,1,0,2005-03-08,1,1,"3","Tuesday",5,0,1,5
"3414",1367729,2005-02-18,605.5,257,151.4,409.2,181.5,102.3,21,17,2005-03-07,4,2,"2","Friday",137.7498,87.75,5,196.3
"3415",1367740,2005-02-18,1007,469,167.8,773,297,128.8,102,215,2005-09-21,6,2,"2","Wednesday",10,0,1,234
"3416",1367758,2005-02-22,782.8,507,195.7,711.8,477,177.9,306,11,2005-03-05,4,2,"3","Tuesday",3,0,2,71
"3417",1367776,2005-02-18,8,8,8,5,5,5,8,0,2005-02-18,1,1,"2","Friday",8,5,8,3
"3418",1367786,2005-02-23,12910.7,3413.93,922.2,12180.1,3744.15,870,5515,52,2005-04-16,14,3,"3","Friday",141,111,141,730.6
"3419",1367794,2005-02-24,18783.5,4458,536.7,18612.6,4427.5,531.8,3721,216,2005-09-28,35,6,"4","Thursday",506,514.5,153,170.900000000001
"3420",1367803,2005-02-22,1042,642.75,347.3,1027.8,697.75,342.6,1087,3,2005-02-25,3,1,"2","Friday",377.25,313,339,14.2
"3421",1367815,2005-02-18,6819.5,702,184.3,6495.5,632.5,175.6,1809,207,2005-09-13,35,6,"5","Friday",131.5,75,32,324
"3422",1367819,2005-07-23,37.5,37.5,37.5,31.5,31.5,31.5,40,0,2005-07-23,1,1,"7","Saturday",37.5,31.5,40,6
"3423",1367836,2005-03-28,120,120,120,40,40,40,2,0,2005-03-28,1,1,"3","Monday",120,40,2,80
"3424",1367871,2005-02-28,5767.2,3181,576.7,5460.2,2888,546,2361,209,2005-09-25,10,5,"6","Friday",47,27,139,307
"3425",1367872,2005-02-18,36.5,36.5,36.5,26.5,26.5,26.5,26,0,2005-02-18,1,1,"2","Friday",36.5,26.5,26,10
"3426",1367880,2005-02-18,1066,582,355.3,800,461,266.7,12,10,2005-02-28,3,1,"2","Friday",30,0,1,266
"3427",1367909,2005-02-18,294.2,94.33,22.6,310.3,137.95,23.9,1989,189,2005-08-26,13,4,"2","Friday",39.42,43.55,473,-16.1
"3428",1367911,2005-02-18,337.1,142.65,48.2,248.1,102.8,35.4,812,177,2005-08-14,7,3,"2","Friday",17.3,9,58,89
"3429",1367922,2005-02-18,4765.2,2370.75,680.8,4502,2309,643.1,4972,12,2005-03-02,7,2,"2","Wednesday",224,184.5,204,263.2
"3430",1367924,2005-03-27,37,20,18.5,26,14.5,13,34,187,2005-09-30,2,2,"3","Friday",17,11.5,15,11
"3431",1367926,2005-03-01,87,48,17.4,70.5,38,14.1,87,4,2005-03-05,5,1,"3","Friday",12,8,12,16.5
"3432",1367986,2005-08-18,128,69,64,100.5,60.5,50.2,11,1,2005-08-19,2,1,"8","Friday",59,40,5,27.5
"3433",1368006,2005-04-08,12671,5001.5,576,12689,5020.5,576.8,3434,116,2005-08-02,22,5,"4","Monday",236,166,123,-18
"3434",1368009,2005-02-18,80,80,80,35,35,35,1,0,2005-02-18,1,1,"2","Friday",80,35,1,45
"3435",1368022,2005-02-21,255.5,184,51.1,241,185,48.2,159,24,2005-03-17,5,2,"2","Monday",10,5.5,10,14.5
"3436",1368040,2005-03-07,1425.5,293.5,101.8,1439.5,308.5,102.8,348,194,2005-09-17,14,4,"3","Saturday",10,0,1,-14
"3437",1368043,2005-08-04,15186,6324,1898.2,14815,6114.5,1851.9,7887,38,2005-09-11,8,2,"8","Saturday",38,10.5,38,371
"3438",1368046,2005-08-27,40,40,40,0,0,0,5,0,2005-08-27,1,1,"8","Saturday",40,0,5,40
"3439",1368058,2005-02-25,109288.5,10385,1011.9,106808.5,9475,989,2838,216,2005-09-29,103,8,"7","Monday",276,236,2,2480
"3440",1368062,2005-09-19,1,1,1,0,0,0,1,0,2005-09-19,1,1,"9","Monday",1,0,1,1
"3441",1368085,2005-03-03,6090.5,2104.5,507.5,5512,1993.5,459.3,1108,182,2005-09-01,12,5,"8","Thursday",480,240.5,70,578.5
"3442",1368089,2005-02-22,28188,7261,854.2,27853.5,6670,844,95,220,2005-09-30,32,6,"9","Wednesday",633,493,4,334.5
"3443",1368093,2005-03-11,362,312,181,162,162,81,13,87,2005-06-06,2,2,"3","Friday",312,162,10,200
"3444",1368094,2005-02-21,3577.5,1102.5,397.5,3673.5,1130.5,408.2,1213,47,2005-04-09,9,3,"2","Monday",574.5,494.5,186,-96
"3445",1368107,2005-03-19,368,230,122.7,339,307,113,67,2,2005-03-21,3,1,"3","Monday",65,11,10,29
"3446",1368113,2005-02-23,75,50,37.5,100,50,50,3,3,2005-02-26,2,1,"2","Saturday",50,50,2,-25
"3447",1368142,2005-02-18,359.7,259.7497,45,297.2,209.75,37.2,34,104,2005-06-02,6,4,"3","Thursday",259.7497,209.75,16,62.5
"3448",1368153,2005-04-19,304.2,195,76.1,289.2,200,72.3,267,3,2005-04-22,4,1,"4","Friday",63.25,38.25,60,15
"3449",1368181,2005-03-10,16200,13602,2025,15823.5,13552.5,1977.9,1738,11,2005-03-21,8,1,"3","Friday",73,68,38,376.5
"3450",1368191,2005-02-18,246,221,123,259,243,129.5,201,3,2005-02-21,2,1,"2","Friday",25,16,20,-13
"3451",1368215,2005-02-18,5,5,5,10,10,10,1,0,2005-02-18,1,1,"2","Friday",5,10,1,-5
"3452",1368225,2005-06-11,5990,5238,1996.7,5771,5138,1923.7,441,12,2005-06-23,3,1,"6","Monday",626,531,47,219
"3453",1368230,2005-02-18,13443.2,1980,584.5,15205,2978,661.1,4937,221,2005-09-27,23,5,"2","Friday",521,356,244,-1761.8
"3454",1368234,2005-03-06,699.7,437.25,139.9,658.8,406.5,131.8,21,26,2005-04-01,5,2,"3","Friday",437.25,406.5,4,40.9000000000001
"3455",1368265,2005-03-11,42,42,42,30,30,30,4,0,2005-03-11,1,1,"3","Friday",42,30,4,12
"3456",1368295,2005-08-10,66.5,66.5,66.5,56.5,56.5,56.5,35,0,2005-08-10,1,1,"8","Wednesday",66.5,56.5,35,10
"3457",1368305,2005-02-18,674,422,51.8,591.5,371.5,45.5,427,187,2005-08-24,13,4,"8","Tuesday",32,36,13,82.5
"3458",1368327,2005-02-18,2348,2348,2348,1833,1833,1833,143,0,2005-02-18,1,1,"2","Friday",2348,1833,143,515
"3459",1368334,2005-02-21,11,11,11,0,0,0,3,0,2005-02-21,1,1,"2","Monday",11,0,3,11
"3460",1368346,2005-07-06,145,145,145,125,125,125,20,0,2005-07-06,1,1,"7","Wednesday",145,125,20,20
"3461",1368351,2005-05-04,298,277,99.3,273,252,91,5,126,2005-09-07,3,2,"5","Wednesday",0,0,1,25
