"","UserID","First_TransDate_Po","Last_TransDate_Po","No_Months_Played_Po","Most_Played_Month_Po","Most_Played_Day_Po","No_Days_Played_Po","Total_Amount_Sold","Total_Amount_Bought","Mean_Amount_Sold","Mean_Amount_Bought","Max_Amount_Sold","Max_Amount_Bought","Amount_Sold_Last_Day","Amount_Bought_Last_Day","Profit_Po"
"40",1325300,2005-02-01,2005-03-16,2,"2","Tuesday",10,145.601324824092,47.1566308900148,9.70675498827282,4.71566308900148,23.5202274071286,16.8158163539595,0,0.195673206127385,-98.4446939340775
"41",1325318,2005-08-30,2005-08-31,1,"8","Wednesday",2,75.5778701159442,54.8560418202535,18.8944675289861,13.7140104550634,34.1799611286108,31.8884525165875,75.1356075330074,54.4137792373167,-20.7218282956907
"42",1325350,2005-02-01,2005-09-29,8,"3","Thursday",87,11266.8361046886,10390.6223516309,64.7519316361415,65.349826110886,213.142966409587,446.485032209169,76.4866084517816,11.1007457454268,-876.213753057751
"43",1325353,2005-02-01,2005-09-19,8,"3","Monday",101,3985.34854498905,3061.12957776018,17.2525911038487,15.2295003868666,178.497726083632,178.498302947372,13.5095194679824,0.190174836426043,-924.218967228865
"44",1325367,2005-04-03,2005-04-03,1,"4","Sunday",1,0.160274712535776,0.160274712535776,0.160274712535776,0.160274712535776,0.160274712535776,0.160274712535776,0.160274712535776,0.160274712535776,0
"45",1325381,2005-03-19,2005-06-28,3,"3","Tuesday",3,46.6106090219376,42.1127325636827,15.5368696739792,14.0375775212276,26.3426563088006,21.8447798505457,26.3426563088006,21.8447798505457,-4.49787645825494
"46",1325386,2005-03-27,2005-07-26,4,"4","Sunday",12,1608.71124071514,1385.61266145823,107.247416047676,125.964787405294,193.211824563663,337.1109035873,2.3519556672466,2.3519556672466,-223.098579256908
"47",1325391,2005-02-01,2005-04-21,3,"2","Sunday",7,248.69112207108,217.20088429332,27.6323468967867,21.720088429332,32.9869481554785,77.4984990928581,27.2666135875316,0.258357237121948,-31.4902377777598
"48",1325408,2005-02-06,2005-02-07,1,"2","Sunday",2,2723.9981,2221.5084,143.368321052632,170.885261538462,379.9999,398.3817,1755.9992,1356.5644,-502.4897
"49",1325452,2005-02-05,2005-02-08,1,"2","Tuesday",2,4.66645268018074,4.66645268018074,1.55548422672691,1.55548422672691,2.46902545616158,2.46902545616158,2.19742722401916,2.19742722401916,0
"50",1325453,2005-02-01,2005-08-30,4,"2","Friday",37,1447.165,1205.717,16.6340804597701,21.5306607142857,39.9999,107.3289,15,0.0101,-241.448
"51",1325465,2005-02-15,2005-02-15,1,"2","Tuesday",1,67.2006612547712,36.6487285629805,67.2006612547712,36.6487285629805,67.2006612547712,36.6487285629805,67.2006612547712,36.6487285629805,-30.5519326917908
"52",1325478,2005-02-02,2005-04-17,2,"2","Sunday",3,237.253597685019,192.999377481805,47.4507195370039,38.5998754963609,80.6408257620558,78.2227702811677,0.656304528737485,0.656304528737485,-44.2542202032149
"53",1325530,2005-02-01,2005-09-30,6,"9","Tuesday",51,1890.12611935564,1315.70466781962,19.688813743288,17.7797928083733,49.6084951195968,118.898691408345,72.8036844363403,85.0446476456078,-574.421451536021
"54",1325618,2005-02-01,2005-02-17,1,"2","Tuesday",13,101.251247409227,230.220618714977,8.43760395076892,23.0220618714977,15.3527289475704,76.7636447378522,0,6.14753972518616,128.96937130575
"55",1325636,2005-02-01,2005-09-29,6,"2","Tuesday",22,1850.59282303666,1012.97112387793,31.3659800514688,37.5174490325159,204.566732090285,192.277577339372,0,0.0403616402970617,-837.621699158729
"56",1325654,2005-06-07,2005-06-07,1,"6","Tuesday",1,0.327118089630356,0.327118089630356,0.327118089630356,0.327118089630356,0.327118089630356,0.327118089630356,0.327118089630356,0.327118089630356,0
"57",1325666,2005-05-10,2005-05-12,1,"5","Thursday",2,68.4380720481769,39.4829336695871,34.2190360240885,19.7414668347935,36.4795095332304,39.480140009131,36.4795095332304,0.0027936604561167,-28.9551383785899
"58",1325743,2005-06-08,2005-07-16,2,"6","Sunday",29,1356.3764,1343.8976,25.5920075471698,27.4264816326531,37.3899,71.7429,22.76,21.519,-12.4788000000001
"59",1325816,2005-09-13,2005-09-15,1,"9","Thursday",2,33.5191327898745,12.1274670170546,16.7595663949373,6.06373350852731,20.1114850370053,8.16063767027782,20.1114850370053,3.96682934677679,-21.3916657728199
