"","UserID","First_TransDate_Ga","Total_Stakes_Ga","Max_Stakes_Ga","Mean_Stakes_Ga","Total_Winnings_Ga","Max_Winnings_Ga","Mean_Winnings_Ga","Total_Bets_Ga","Length_Play_Ga","LastDay_Ga","No_Days_Played_Ga","No_Months_Played_Ga","Most_Played_Month_Ga","MostPlayed_Day_Ga","Stakes_Last_Day_Ga","Winnings_Last_Day_Ga","Bets_Last_Day_Ga","Profit_Ga"
"3655",1400863,2005-03-15,38.2,24.5,7.6,31.9,26,6.4,33,42,2005-04-26,5,2,"4","Tuesday",2.6,1.2,3,6.3
"3656",1400867,2005-03-07,819.2,247.5,117,707.5,222.75,101.1,1570,14,2005-03-21,5,1,"3","Friday",72,62.75,142,111.7
"3657",1400892,2005-02-27,884.3,294,31.6,520.4,128.25,18.6,94,115,2005-06-22,24,5,"3","Monday",14,0,4,363.9
"3658",1400905,2005-04-05,1655.3,139.7413,75.2,1692.9,170.0554,77,669,174,2005-09-26,21,3,"4","Friday",26.3408,27.9359,17,-37.6000000000001
"3659",1400922,2005-03-05,0.2,0.2,0.2,0.2,0.165,0.2,2,0,2005-03-05,1,1,"3","Saturday",0.2,0.165,2,0
"3660",1400923,2005-05-04,50.4,37,8.4,50.2,38.63,8.4,27,121,2005-09-02,6,4,"5","Wednesday",37,38.63,22,0.199999999999996
"3661",1400960,2005-03-24,214,134,71.3,333,293,111,26,62,2005-05-25,3,3,"3","Sunday",10,0,2,-119
"3662",1400961,2005-02-28,12,9,4,0,0,0,8,15,2005-03-15,3,2,"3","Tuesday",1,0,1,12
"3663",1400965,2005-03-06,355,114.5,59.2,260.3,94.7,43.4,172,194,2005-09-16,6,3,"7","Sunday",50,36.9,11,94.7
"3664",1400986,2005-04-13,560.5,560.5,560.5,596.4,596.425,596.4,80,0,2005-04-13,1,1,"4","Wednesday",560.5,596.425,80,-35.9
"3665",1400992,2005-03-23,341.1,325,113.7,325.4,312.13,108.5,30,165,2005-09-04,3,2,"3","Sunday",325,312.13,28,15.7
"3666",1400996,2005-02-27,27,16,9,19.2,10,6.4,23,1,2005-02-28,2,1,"2","Monday",23,9.17,19,7.8
"3667",1401071,2005-04-12,47.8,22.75,15.9,25.1,16,8.3,35,2,2005-04-14,2,1,"4","Tuesday",22.75,16,18,22.7
"3668",1401083,2005-03-05,31.4,28,10.5,17.4,15,5.8,33,1,2005-03-06,2,1,"3","Saturday",1.0029,0,1,14
"3669",1401088,2005-03-02,2402,280.62,49,2163.2,260.88,44.1,2189,54,2005-04-25,48,2,"4","Saturday",94.57,77,12,238.8
"3670",1401121,2005-03-22,18.5,15.5,9.2,13.5,11.5,6.8,29,0,2005-03-22,1,1,"3","Tuesday",18.5,13.5,29,5
"3671",1401122,2005-07-02,7.5,7.5,7.5,7.5,7.5,7.5,6,0,2005-07-02,1,1,"7","Saturday",7.5,7.5,6,0
"3672",1401137,2005-04-25,27.6,10,9.2,22.8,8.25,7.6,5,7,2005-05-02,3,2,"4","Monday",10,8.25,2,4.8
"3673",1401150,2005-04-19,2002.9,736.678,133.5,1876.5,771.1019,125.1,1304,144,2005-09-10,15,3,"7","Saturday",42.4821,54.1616,19,126.4
"3674",1401162,2005-05-03,5,3,2.5,2,2,1,6,14,2005-05-17,2,1,"5","Tuesday",2.0147,0,3,3
"3675",1401163,2005-04-02,8,8,8,1.9,1.9,1.9,4,0,2005-04-02,1,1,"4","Saturday",8,1.9,4,6.1
"3676",1401170,2005-02-27,2735.4,1170.66,455.9,2419.9,1348.7,403.3,241,107,2005-06-14,5,3,"2","Monday",74,0,9,315.5
"3677",1401180,2005-07-03,267.9,95.9,11.6,218.5,88.2075,9.5,120,84,2005-09-25,22,3,"7","Monday",0.5,0.4125,1,49.4
"3678",1401187,2005-03-09,20017.6,6542.3,1177.5,19621.2,6526.689,1154.2,5161,199,2005-09-24,17,2,"3","Thursday",47.87,36.8745,20,396.399999999998
"3679",1401188,2005-03-17,8633.8,7685.83,863.4,8261.1,7454.09,826.1,1225,5,2005-03-22,6,1,"3","Friday",88.95,49.8,37,372.699999999999
"3680",1401190,2005-03-29,356.2,57.01,13.7,326.7,69.01,12.6,628,107,2005-07-14,17,4,"7","Tuesday",11.04,8.04,20,29.5
"3681",1401215,2005-03-02,311.5,230,103.8,200.8,175,66.9,18,200,2005-09-18,3,2,"3","Wednesday",42,16,4,110.7
"3682",1401218,2005-03-08,205.5,59,34.2,180.3,66.75,30,185,4,2005-03-12,4,1,"3","Saturday",60,55.35,68,25.2
"3683",1401225,2005-09-21,118.5,68,23.7,208.3,163.5417,41.7,67,8,2005-09-29,4,1,"9","Thursday",0.5,0.4125,1,-89.8
"3684",1401231,2005-02-27,12,12,12,3,3,3,4,0,2005-02-27,1,1,"2","Sunday",12,3,4,9
"3685",1401232,2005-07-08,2.5,1.6,0.6,2.1,1.32,0.5,4,34,2005-08-11,4,2,"7","Saturday",1.6,1.32,1,0.4
"3686",1401257,2005-04-03,36.5,31,12.2,25.8,23,8.6,29,6,2005-04-09,2,1,"4","Sunday",3,1,3,10.7
"3687",1401299,2005-02-28,638,314,212.7,571.8,309.46,190.6,195,158,2005-08-05,3,3,"2","Friday",98,95,18,66.2
"3688",1401327,2005-03-08,1391.5,463.5,77.3,1292.7,510.25,71.8,2315,43,2005-04-20,12,2,"3","Friday",54,32.74,54,98.8
"3689",1401355,2005-03-02,54,32,6,44.5,26.4,5,9,48,2005-04-19,9,2,"3","Tuesday",0.5,0.4125,1,9.5
"3690",1401361,2005-03-22,612.1,257.7,40.8,642.1,312.7,42.8,174,174,2005-09-12,11,5,"3","Monday",8.25,8.25,7,-30
"3691",1401363,2005-03-13,2.3,2.27,2.3,0,0,0,3,0,2005-03-13,1,1,"3","Sunday",2.27,0,3,2.3
"3692",1401367,2005-02-27,19,19,19,12.2,12.25,12.2,21,0,2005-02-27,1,1,"2","Sunday",19,12.25,21,6.8
"3693",1401388,2005-02-27,186.5,131.0624,46.6,129.7,90.4619,32.4,49,2,2005-03-01,3,2,"2","Sunday",15.3392,8.2596,7,56.8
"3694",1401406,2005-02-28,12.5,12.5,12.5,8.8,8.75,8.8,25,0,2005-02-28,1,1,"2","Monday",12.5,8.75,25,3.7
"3695",1401408,2005-07-12,0.5,0.5,0.5,0,0,0,1,0,2005-07-12,1,1,"7","Tuesday",0.5,0,1,0.5
"3696",1401415,2005-03-05,12,12,12,6,6,6,12,0,2005-03-05,1,1,"3","Saturday",12,6,12,6
"3697",1401420,2005-03-03,75.3,60.81,18.8,84,68.92,21,74,188,2005-09-07,4,2,"9","Thursday",1,0,1,-8.7
"3698",1401433,2005-03-01,1.5,1.5,1.5,1.2,1.2375,1.2,1,0,2005-03-01,1,1,"3","Tuesday",1.5,1.2375,1,0.3
"3699",1401436,2005-04-12,20,2,0.6,16.6,1.65,0.5,33,171,2005-09-30,35,6,"5","Wednesday",0.4,0.33,1,3.4
"3700",1401443,2005-03-02,654.7,490.1581,218.2,680.9,499.9613,227,13,28,2005-03-30,3,1,"3","Wednesday",5.6756,5.6498,3,-26.1999999999999
"3701",1401489,2005-02-28,10,6,5,2,2,1,3,7,2005-03-07,2,2,"2","Monday",4,2,2,8
"3702",1401492,2005-03-03,168,148,84,129.7,115.7,64.8,111,7,2005-03-10,2,1,"3","Thursday",20,13.98,20,38.3
"3703",1401511,2005-03-03,4.6,0.5,0.3,3.8,0.4125,0.3,14,139,2005-07-20,14,4,"4","Monday",0.1,0.0825,1,0.8
"3704",1401557,2005-04-16,8,8,8,3,3,3,6,0,2005-04-16,1,1,"4","Saturday",8,3,6,5
"3705",1401564,2005-06-30,3212.5,871,146,2537.8,728,115.4,2720,56,2005-08-25,17,3,"8","Sunday",75,91,17,674.7
"3706",1401569,2005-03-12,44.5,41,22.2,27.3,25.4,13.7,20,1,2005-03-13,2,1,"3","Saturday",41,25.4,16,17.2
"3707",1401597,2005-03-06,43.8,34.27,21.9,21.8,12.17,10.9,56,1,2005-03-07,2,1,"3","Monday",34.27,12.17,48,22
"3708",1401652,2005-04-10,285.8,213,142.9,146.6,112,73.3,132,0,2005-04-10,1,1,"4","Sunday",285.79,146.56,132,139.2
"3709",1401656,2005-02-28,129.3,99.3,43.1,106,82.7,35.3,102,1,2005-03-01,2,2,"2","Monday",1,0,1,23.3
"3710",1401659,2005-03-06,7.7,6,3.8,4.4,3,2.2,8,109,2005-06-23,2,2,"3","Sunday",1.7,1.4025,2,3.3
"3711",1401680,2005-03-14,313.8,307.4572,104.6,257.8,256.9734,85.9,165,8,2005-03-22,3,1,"3","Monday",5.3097,0,5,56
