,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
301,224,D,10,B,26493850,4 dec  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,2397.0,151000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 2, 3 ,, 1 ,1.0,,1.0,1.0, 63,
302,Non soumis,NA,En cours de réalisation,NA,911,10 dec  2019 ,23 oct  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,5304.0,333091, honoraires à la charge du vendeur,, 1, 2 ,, 1 ,,,,,80,
303,,D,En cours de réalisation,NA,bdhalluin_T2_DI,,3 dec  2019 ,Tourcoing,Orions - Pont Rompu ,59200 ,1403.0,87000,,, 1, 2 ,,,,,,, 62,
304,341,F,79,F,26188908,7 dec  2019 ,,Roubaix,Centre-ville - Crouy ,59100 ,1500.0,93000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 2, 3 ,, 1 ,,,,, 62,
305,226,D,52,E,28302268,,19 nov  2019 ,Tourcoing,,59200,1516.0,94000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 2, 3 ,, 1 ,,1.0,,, 62,
306,138,C,32,D,25557293,4 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1677.0,104000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 1, 2 ,, 1 ,,1.0,,1.0, 62,
307,47,A,11,C,72513,10 dec  2019 ,29 nov  2019 ,Tourcoing,,59200,2613.0,171000,  5, gaz individuel, 2, 3 ,, 1 ,,,1.0,1.0, 62,
308,Non soumis,NA,Non soumis,NA,TAPP421085,23 nov  2019 ,22 nov  2019 ,Tourcoing,Virolois ,59200 ,1676.0,103500, honoraires à la charge du vendeur, Individuel, 2, 3 ,, 1 ,,,,,75,
309,,D,En cours de réalisation,NA,claudel_T3_ANCIEN_DI,,3 dec  2019 ,Roubaix,Anseele - Motte Bossut ,59100 ,1001.0,61040,,, 2, 3 ,, 1 ,,,,, 61,
310,138,C,32,D,25063439,4 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,2147.0,130200, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 1, 2 ,, 1 ,,1.0,,1.0,65,
311,,D,En cours de réalisation,NA,CHEMIN_NEUF_ES,,3 dec  2019 ,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,1122.0,67300,,, 2, 3 ,,,,,,, 60,
312,301,E,52,E,20203146,22 oct  2019 ,,Tourcoing,,59200,1150.0,69000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 2, 3 ,, 1 ,,,,, 60,
313,188,D,44,E,SO1682,29 nov  2019 ,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,1783.0,107000, honoraires à la charge du vendeur, radiateur gaz individuel, 1, 3 ,, 1 ,,,,, 60,
314,182,D,9,B,120901E15X32,18 dec  2019 ,,Tourcoing,Epidème ,59200 ,2080.0,124800, honoraires à la charge du vendeur, individuel, 2, 3 ,, 1 ,,,1.0,, 60,
315,,A,En cours de réalisation,NA,42581,,4 dec  2019 ,Roubaix,,59100,3850.0,231000,,, 2, 3 ,, 1 ,,,,, 60,
316,,D,En cours de réalisation,NA,renaix_t3_ancien_DI_,6 dec  2019 ,3 dec  2019 ,Tourcoing,Virolois ,59200 ,1298.0,76600,,, 2, 3 ,, 1 ,,,,, 59,
317,193,D,45,E,26982203,29 nov  2019 ,,Tourcoing,Blanc Seau ,59200 ,1390.0,82000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 1, 2 ,, 1 ,,,1.0,, 59,
318,151,D,,E,99050MX2220,13 dec  2019 ,5 nov  2019 ,Roubaix,,59100,1439.0,84900, honoraires à la charge du vendeur,, 2, 4 ,, 1 ,,,1.0,, 59,
319,380,F,12,C,27290872,4 dec  2019 ,,Roubaix,Epeule - Trichon ,59100 ,1745.0,102930, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE COLLECTIF, 1, 2 ,,,,,1.0,1.0, 59,
